"make","mpg"
"Merc 230",22.8
"Ferrari Dino",19.7
"Toyota Corona",21.5
"Fiat X1-9",27.3
"Valiant",18.1
"Fiat 128",32.4
"Hornet Sportabout",18.7
"Merc 450SLC",15.2
"Ford Pantera L",15.8
"Duster 360",14.3
"Lincoln Continental",10.4
"Toyota Corolla",33.9
"Dodge Challenger",15.5
"Porsche 914-2",26
"Volvo 142E",21.4
"Lotus Europa",30.4
"Maserati Bora",15
"Merc 450SL",17.3
"AMC Javelin",15.2
"Merc 240D",24.4
"Chrysler Imperial",14.7
"Camaro Z28",13.3
"Hornet 4 Drive",21.4
"Merc 280C",17.8
"Pontiac Firebird",19.2
"Cadillac Fleetwood",10.4
"Mazda RX4 Wag",21
"Honda Civic",30.4
"Merc 280",19.2
"Datsun 710",22.8
